Username;Location;Nb_comments;Nb_likes;Note;Date_publication;Title;Date_experience
carrie b;arlington heights, illinois;365;174;50;september 1 2019;amazing;september 2019
mooshla;calabasas, californie;403;199;50;september 1 2019;well organized, great signage and just views views views;august 2019
vincentd691;morgantown, virginie occidentale;91;49;40;september 1 2019;try not to go during the summer.;august 2019
po143;bossier city, louisiane;116;88;50;august 31 2019;inspiring;august 2019
prissyv05;connersville, indiana;8;12;50;august 30 2019;winter at the grand canyon;january 2019
tjobee;stourbridge, royaume uni;49;61;50;august 30 2019;dogged by the weather...;march 2019
richard s;point pleasant, pennsylvanie;45;57;40;august 30 2019;bring a small car;august 2019
eirinn1975;rauma, finlande;385;183;50;august 29 2019;a humbling view;august 2019
spw91;bridgewater, new jersey;588;184;50;august 29 2019;nothing else like it;august 2019
beverlys574;manhattan beach, californie;42;24;50;august 28 2019;plan your visit.;august 2019
maureen c;boston, massachusetts;34;50;50;august 28 2019;just stunning;august 2019
larita p;springfield, united states;21;22;50;august 28 2019;vacation;august 2019
beakertroyd;san jose, californie;307;152;50;august 27 2019;but of course it s amazing;august 2019
nj_blt;west deptford, nj;18;25;50;august 27 2019;a must see once in your life;august 2019
jingpei;singapour, singapour;210;127;50;august 27 2019;natural wonder;april 2019
teleop;londres, royaume uni;237;123;50;august 27 2019;beautiful do it ....;august 2019
kimj_in_oregon;hillsboro, oregon;254;175;50;august 26 2019;just like i ve always dreamed;november 2018
zebanuck;tel aviv, israel;160;109;50;august 26 2019;it s the grand canyon, duh;august 2019
pjribadeneira;cumbaya, equateur;410;180;50;august 25 2019;great lodging, outstanding views, lot of plans to do;august 2019
donn263;raleigh, caroline du nord;695;226;50;august 25 2019;awesome where best views are;august 2019
emma2709;londres, royaume uni;124;117;50;august 24 2019;out of this world;august 2019
jerry h;grand junction, colorado;73;25;50;august 23 2019;early morning sunrise;august 2019
giuliabertolaz;brescia, italie;43;47;50;august 21 2019;breathless view on gran canyon;august 2019
standrews05;horwich, royaume uni;60;79;50;august 21 2019;truly spectacular;august 2019
all_the_places;everywhere;125;79;50;august 20 2019;day trip;may 2019
hmcook0818;gibsonville, caroline du nord;71;39;50;august 20 2019;incredible views and affordable;august 2019
johnkl3739ae;melville, etat de new york;412;138;50;august 19 2019;breathtaking;august 2019
ohtheplacesyoullgo5;st. catharines, canada;35;43;50;august 19 2019;great walk of the south rim;august 2019
allisonspring;sitka, alaska;400;165;50;august 18 2019;nature.....our finest teacher;july 2019
kionsomewhereelse;dallas, texas;58;57;40;august 18 2019;pretty view, but a bit underwhelming;august 2019
paulamcg;rehoboth beach, delaware;6;6;50;august 18 2019;family travel;august 2019
betsy e;beachlover8307;165;70;50;august 16 2019;like nothing else;may 2019
ade2la;londres, royaume uni;82;55;50;august 16 2019;great canyon;august 2019
mark v;gretna, nebraska;203;112;50;august 15 2019;unbelievable;august 2019
li x;new york, etat de new york;27;32;50;august 13 2019;amazing;may 2019
tom m;scottsdale, arizona;515;130;50;august 13 2019;amazing and spectacular;august 2019
lydvictoria;victoria, canada;19;51;50;august 12 2019;it really is grand;august 2019
joyce n;huntington beach, californie;223;98;50;august 12 2019;words and photos cannot adequately describe this marvel;august 2019
grays_on_holiday;derbyshire, royaume uni;158;167;50;august 12 2019;a well managed national park;august 2019
ashlisdownsouth;diamondhead, mississippi;64;147;50;august 11 2019;majestic, inspiring, unforgettable.;august 2019
susandelauter;winchester, virginie;285;128;50;august 11 2019;get to see it all on the walk;august 2019
ken q;denver, united states;668;239;50;august 11 2019;lots of activities;august 2019
mrsjex;san tan valley, arizona;65;47;50;august 11 2019;awesome family day;august 2019
rp netherlands;wemeldinge, pays bas;794;400;50;august 10 2019;3rd visit and still fabulous;june 2019
leslie e;redding;4;4;50;august 10 2019;excellent place to visit;august 2019
jonathanmidwood;harrogate, royaume uni;4;6;50;august 9 2019;wow   eye opening;july 2019
sallys586;saint charles, missouri;50;36;50;august 9 2019;unbelievable;august 2019
carlos_5757;doral, floride;149;100;50;august 8 2019;stunning views;august 2019
y2732kpandrean;toronto, canada;7;9;50;august 7 2019;worth the drive;july 2019
prof_scott;londres, royaume uni;3;3;50;august 7 2019;grand canyon south rim;july 2019
dixienok;edmond, oklahoma;6;8;50;august 7 2019;third time charm;august 2019
barbararalph;casa grande, arizona;9;10;50;august 7 2019;spectacular views;july 2019
681bethr;danvers, ma;8;10;50;august 7 2019;top of the bucket list;march 2019
gemunu;new york;37;42;50;august 6 2019;family trip to grand canyon;june 2019
msgreentaxilady;new york, etat de new york;8;10;50;august 6 2019;trip to grand canyon south rim;july 2019
georgemk9517ou;north port, floride;27;36;50;august 6 2019;must do;june 2019
ydnas89;dieterich, illinois;22;21;50;august 6 2019;good family getaway;july 2019
phil bram;nottingham, royaume uni;200;84;50;august 6 2019;first trip to the grand canyon;august 2019
ryanm7105;hong kong, chine;114;71;50;august 5 2019;amazing â€“ make sure to go on a heli tour;july 2019
dkerrick;mesquite, nevada;83;62;50;august 5 2019;beautiful and magical;august 2019
